fighter_id,full_name,age,weight_class,fighter_stance,total_fights,wins,losses,avg_total_str_att,avg_sig_str_att,avg_strike_acc,avg_td_att,avg_td_off_pct,avg_td_def_pct,avg_sub_att,avg_str_abs_pct,ko_wins,ko_losses,sub_wins,sub_losses,fighting_style
3392.0,Bethe Correia,41.0,Women's Bantamweight,Orthodox,11,5,6,149.1818181818182,129.0909090909091,0.4525232937394356,1.6363636363636365,0.0642857142857143,0.8766666666666667,0.0,0.48174376714546835,1,2,0,0,Mixed
3395.0,Nora Cornolle,35.0,Women's Bantamweight,Orthodox,1,1,0,134.0,77.0,0.5194805194805194,0.0,,0.375,0.0,0.625,0,0,0,0,Kickboxer
3396.0,Daniel Cormier,46.0,Light Heavyweight,Orthodox,14,11,3,157.85714285714286,108.85714285714286,0.589227376242287,3.357142857142857,0.525,0.6767195767195768,0.5714285714285714,0.5048302051346226,3,1,0,0,Wrestler
3398.0,Akira Corassani,42.0,Featherweight,Orthodox,6,3,3,54.0,51.166666666666664,0.43458964270848277,1.1666666666666667,0.16666666666666666,0.7272727272727273,0.0,0.5884535541699832,0,3,0,0,Mixed
3400.0,Josh Copeland,42.0,Heavyweight,Orthodox,2,0,2,51.0,46.0,0.3035714285714286,0.0,,0.33333333333333337,0.0,0.5438732455007319,0,1,0,0,Mixed
3401.0,Chris Cope,42.0,Welterweight,Orthodox,3,1,2,117.66666666666667,110.0,0.20707112113137938,0.3333333333333333,0.0,0.8333333333333334,0.0,0.58150290632685,0,2,0,0,Mixed
3402.0,Kit Cope,48.0,Welterweight,Orthodox,1,0,1,19.0,15.0,0.5333333333333333,0.0,,0.625,0.0,0.74,0,0,0,0,Boxer
3403.0,Amanda Cooper,33.0,Women's Strawweight,Switch,6,2,4,96.5,65.66666666666667,0.3822572905131045,2.1666666666666665,0.3333333333333333,0.375,1.0,0.5634138275607395,1,0,0,0,Mixed
3411.0,Bob Cook,,Lightweight,Orthodox,1,1,0,78.0,47.0,0.46808510638297873,5.0,0.2,,2.0,0.4,0,0,0,0,Mixed
3415.0,Tristan Connelly,39.0,Featherweight,Orthodox,3,1,2,168.33333333333334,97.33333333333333,0.4853675213675214,2.3333333333333335,0.5,0.6333333333333333,0.3333333333333333,0.6351093607435396,0,0,0,0,Wrestler
